variante,MAE,MAE_réf,gain_global,lo_global,hi_global,lob_global,p_global,n_global,verdict_global,gain_froid,lo_froid,hi_froid,lob_froid,p_froid,n_froid,verdict_froid,gain_grand_froid,lo_grand_froid,hi_grand_froid,lob_grand_froid,p_grand_froid,n_grand_froid,verdict_grand_froid
conf_full,813.1753848714962,920.796306359255,11.686356082428057,6.604956065392043,16.23274651314127,5.055101860947522,0.0,546,✅,3.9634108526512732,-22.100507309206403,26.43808189850454,-27.022086870984367,0.382,32,⚪,37.69152924451131,,,,,4,n/a
conf_keep,835.1813828987764,920.796306359255,9.291490305246901,5.193651661017933,13.304554883333584,3.8903519620215343,0.0,546,✅,3.6432267630707567,-6.8001467762977255,14.624519843114292,-8.718556034145456,0.2855,32,⚪,25.551121609520578,,,,,4,n/a
conf_keep_linear_tree,822.2207741128516,920.796306359255,10.701640106559218,6.109184751924098,15.132401008859203,4.814125262536704,0.0,546,✅,5.698753511441693,-3.553836397398327,12.848045256784902,-6.2169794297947725,0.109,32,⚪,20.217610605336983,,,,,4,n/a
conf_keep_seed_avg3,802.1640848204511,920.796306359255,12.879205013572777,8.99479169030274,16.672077435904153,7.564034246553738,0.0,546,✅,5.335406198808296,-11.354611358298182,21.18547124136152,-15.043284599997797,0.279,32,⚪,34.167273857751276,,,,,4,n/a
