modèle,MAE_MW,RMSE_MW,biais_MW,MAE_<0C,n,n_<0C,gain_MAE_%,gain_MAE_<0C_%
baseline,906.4045571863073,1237.3052042760175,-140.93109697931828,1543.1629567552304,26206,381,0.0,0.0
hdd_17,893.1491022493287,1218.1073697057097,-146.75732585076904,1537.7040742138004,26206,381,1.4841256519875223,0.3550021511272261
hdd_multi_seuils,895.9931751991509,1228.5264650785082,-126.63072552732713,1572.9845422706649,26206,381,1.1619934476445382,-1.8958600491004063
regimes_froid,896.9287411800045,1222.4774711490104,-138.10818301949473,1517.4330400256722,26206,381,1.0564736719035572,1.6956212268267823
interactions_heure,888.6955504952638,1206.8485932176948,-134.6584158051784,1466.1482439932952,26206,381,1.9926966756134368,5.252859871261939
variations_temperature,872.5722948584225,1185.8257117773996,-130.39209819466637,1506.614846299805,26206,381,3.8773019183899526,2.4258429780634527
tout_froid,874.1372039544663,1194.338471637442,-135.46331199424029,1437.1629802347052,26206,381,3.6913373651033643,7.375640618241808
