modèle,MAE_MW,RMSE_MW,biais_MW,MAE_<0C,n,n_<0C,gain_MAE_%,gain_MAE_<0C_%
baseline_fc,1088.5126921373312,1525.3909673321705,-71.26571942675517,1841.78778963917,26206,381,0.0,0.0
spatial_agregats,1090.8251911367825,1521.7875989849165,-93.29180236149338,1928.8683865192518,26206,381,-0.21199537911673616,-4.514595059397674
spatial_villes,1091.1625107865073,1523.6306125002347,-60.883062576514845,1739.7950939655352,26206,381,-0.2428436298884673,5.862339537994754
spatial_tout,1069.4202863564392,1494.9900949257549,-60.93799535029022,1653.5530458016397,26206,381,1.785304246092112,11.383653177347842
