variante,MAE jours froids (extrapolation),MAE jours froids (entraînement normal),perte due à l'extrapolation %,extrap (45 j)
x_baseline,1993.6585681228644,1570.3794725673006,26.95393711836893,
x_dyn,1964.8763381470787,1482.6205773456725,32.52725398326699,+1.44 % [-7.41 ; +11.61] ⚪
x_astro,1987.9723840926545,1544.8341224055073,28.68516789343851,+0.29 % [-4.40 ; +4.63] ⚪
x_cal,2189.1827162023733,1486.0528374308594,47.31526773887189,-9.81 % [-14.12 ; -5.07] ❌
x_nowcast,1817.0644718745016,1500.4741849712216,21.099349130711765,+8.86 % [+2.61 ; +17.44] ✅
x_spatial_hdd,1971.5381472423353,1508.83745646709,30.666039525466758,+1.11 % [-6.23 ; +9.23] ⚪
x_spatial_villes,1809.5672518919325,1451.34585023772,24.6820150824518,+9.23 % [+0.75 ; +19.42] 🟡
x_full,1643.8786261925634,1420.3726353130326,15.735729154643474,+17.54 % [+8.00 ; +26.60] ✅
x_full_linear_tree,1437.2391196147983,1310.1584313552275,9.699642823205634,+27.91 % [+21.12 ; +34.58] ✅
x_full_mono_hdd,1615.822536072176,1405.4643819848784,14.967163649513315,+18.95 % [+9.34 ; +28.37] ✅
