,MAE,RMSE,biais,MAPE %,err_pointe,n
conf_baseline,920.7969618514544,1243.6820559548664,-130.8248072913224,1.7589378162381792,963.6664338566733,26204.0
conf_full,813.1536182271551,1117.875385008791,-127.92333573573663,1.5635397127237007,845.8199307661245,26204.0
conf_keep,835.1946559785341,1138.3154122659887,-163.95217597739386,1.6073422413747005,901.342265444984,26204.0
conf_keep_linear_tree,822.2055084542384,1120.4475698767383,-157.31130521742443,1.582701470138412,876.092727694486,26204.0
conf_keep_seed_avg3,802.1666360877423,1099.3893649610322,-159.0596255780862,1.542684517302124,867.797197971202,26204.0
rte_j1,1378.552587391238,1718.1938184578005,-1055.1147153106397,2.739222502702923,1418.3424908424909,26204.0
