,MAE,RMSE,biais,MAPE %,err_pointe,n
conf_baseline,914.27246735754,1235.2643472200164,-122.79676306267115,1.7505985132389983,958.06976423482,26204.0
conf_full,803.6180433159192,1112.8059770713128,-138.99178276654604,1.5457225450548142,825.7736815915033,26204.0
conf_keep,822.124644393039,1126.9075715495662,-161.82182065277365,1.5843569907364363,878.2209850321984,26204.0
conf_keep_linear_tree,808.5227282538966,1126.359572859509,-152.71031977006285,1.563585559053042,869.020350139973,26204.0
conf_keep_seed_avg3,786.591820834272,1084.9373383757847,-160.09509284182596,1.516072605117821,843.9562942392412,26204.0
rte_j1,1378.552587391238,1718.1938184578005,-1055.1147153106397,2.739222502702923,1418.3424908424909,26204.0
