temp_nat,baseline,tout_froid
-5-0,1543.1629567552304,1437.1629802347052
0-5,1357.1217949308025,1304.9182385644544
5-10,1044.8045639104796,1005.3991430172489
10-15,873.0768726024248,826.4695508394587
15-20,657.184198894284,658.1037209429106
>20,748.1064041564401,726.3215075793845
