temp_nat,baseline_fc,spatial_tout,froid+spatial
-5-0,1841.78778963917,1653.5530458016397,1762.6743223072758
0-5,1696.3274826340614,1665.5702989514778,1692.0112612178004
5-10,1344.3254016824087,1328.6627320077462,1262.065228810825
10-15,1058.3848359684814,1050.4439543196736,1019.2571203621786
15-20,755.3618320893559,726.6573553506786,712.5240773595334
>20,769.3053030820716,759.804380754744,751.607624478665
