bloc,nb variables,retenu (criblage),gain oracle %,verdict oracle,gain prévu %,verdict prévu,gain grand froid oracle %,verdict grand froid,apport dans full %,verdict apport,gain extrapolation froid %,recommandé
dyn,11,True,1.6656842985801175,🟡,2.073842870297228,⚪,9.742281266382296,⚪,1.6552525001292502,🟡,1.4436890265962574,True
hdd,9,False,0.46375713585252226,⚪,0.4660429346806087,⚪,-3.826500103901065,⚪,,,,False
ressenti,7,False,0.6150949838693357,⚪,-0.3357917066331558,⚪,4.500394640618137,🟡,,,,False
astro,4,True,1.2176988156855229,🟡,0.3945193338411029,⚪,3.2775378835108198,⚪,0.3954652191317246,⚪,0.28521353260423055,False
cal,5,True,1.9659043719409333,🟡,2.521992468431878,🟡,4.819102344320473,🟡,0.6027348609018597,⚪,-9.807303577743758,False
nowcast,5,True,3.988058479906619,✅,3.40890592575101,🟡,-2.5562403641813276,⚪,3.2857885977143795,✅,8.857790349459663,True
inter,4,False,0.6421200508131043,⚪,-0.05626967499340414,⚪,1.3069035522309262,⚪,,,,False
spatial_hdd,12,True,1.8545525452238945,🟡,1.8622502111795196,⚪,-1.3139122806082377,⚪,-0.405984880116496,⚪,1.1095390772631961,False
spatial_villes,10,True,2.939693265958673,🟡,2.2085657730814194,⚪,4.4083147196814325,⚪,0.31298297627041444,⚪,9.233843706962514,False
