,part du gain %,perte de MAE si mélangé (MW)
base,84.37462697016859,5595.4627057921925
nowcast,9.599882976779437,489.526950842812
dyn,2.3679428085789764,349.12833700674156
astro,1.538012207636298,225.78824011519205
spatial_hdd,0.9723538568997988,77.53649579498358
cal,0.5794476090455517,91.63828018619927
spatial_villes,0.5677335708913436,147.62613063423052
