variante,MAE,MAE_réf,gain_global,lo_global,hi_global,lob_global,p_global,n_global,verdict_global,gain_froid,lo_froid,hi_froid,lob_froid,p_froid,n_froid,verdict_froid,gain_grand_froid,lo_grand_froid,hi_grand_froid,lob_grand_froid,p_grand_froid,n_grand_froid,verdict_grand_froid
conf_full,803.6547281861773,914.264367686411,12.097237237442318,6.699660775054332,16.937060752274846,5.365296928661174,0.0,546,✅,6.681350323645442,-20.306486124550055,29.147481833488705,-25.26742513365856,0.302,32,⚪,29.170096727872437,,,,,4,n/a
conf_keep,822.1179954783879,914.264367686411,10.075979988291557,6.003122822966942,13.985379064979137,4.744706194955609,0.0,546,✅,5.8146020909298395,-4.351323049712606,14.19160705823042,-6.85821544654829,0.126,32,⚪,18.97866809777633,,,,,4,n/a
conf_keep_linear_tree,808.5403965483417,914.264367686411,11.561783215929395,6.782563540232353,16.214692928782597,5.542295387601667,0.0,546,✅,9.612287699865583,-0.9516394449447096,18.151723386908344,-4.208947624405554,0.0405,32,⚪,2.384806307277886,,,,,4,n/a
conf_keep_seed_avg3,786.5976448179265,914.264367686411,13.961042450798935,10.0784962360715,17.77298411829184,8.906669450884218,0.0,546,✅,7.626572448432071,-8.655839798326737,21.407843098472288,-11.125465359548349,0.1785,32,⚪,25.67437554532822,,,,,4,n/a
